Date,Core-Dividend-Growth-ETF,MSCI-USA-Momentum-Factor-ETF,SP-500-Value-ETF,Asia-50-ETF,MSCI-USA-Quality-GARP-ETF,MSCI-EAFE-Min-Vol-Factor-ETF,Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc,MSCI-USA-Min-Vol-Factor-ETF,Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc,MSCI-USA-Quality-Factor-ETF,Edge-MSCI-Europe-Minimum-Volatility-UCITS-ETF-EUR-A,Edge-MSCI-World-Minimum-Volatility-UCITS-ETF-USD-Ac,MSCI-Global-Min-Vol-Factor-ETF,MSCI-USA-Equal-Weighted-ETF,Russell-2000-ETF
31-05-2000,,,,,,,,,,,,,,,
30-06-2000,,,-3.93,,,,,,,,,,,,8.69
31-07-2000,,,1.98,,,,,,,,,,,,-3.25
31-08-2000,,,6.68,,,,,,,,,,,,7.59
30-09-2000,,,-0.05,,,,,,,,,,,,-3.24
31-10-2000,,,1.86,,,,,,,,,,,,-4.24
30-11-2000,,,-5.12,,,,,,,,,,,,-10.41
31-12-2000,,,5.12,,,,,,,,,,,,8.54
31-01-2001,,,4.2,,,,,,,,,,,,5.22
28-02-2001,,,-6.64,,,,,,,,,,,,-6.56
31-03-2001,,,-3.94,,,,,,,,,,,,-4.92
30-04-2001,,,6.76,,,,,,,,,,,,7.77
31-05-2001,,,1.03,,,,,,,,,,,,2.42
30-06-2001,,,-3.25,,,,,,,,,,,,3.4
31-07-2001,,,-1.75,,,,,,,,,,,,-5.48
31-08-2001,,,-5.78,,,,,,,,,,,,-3.26
30-09-2001,,,-9.51,,,,,,,,,,,,-13.47
31-10-2001,,,-0.01,,,,,,,,,,,,5.67
30-11-2001,,,6.32,,,,,,,,,,,,7.74
31-12-2001,,,1.51,,,,,,,,,,,,6.09
31-01-2002,,,-2.74,,,,,,,,,,,,-1.05
28-02-2002,,,-0.91,,,,,,,,,,,,-2.74
31-03-2002,,,5.09,,,,,,,,,,,,8.01
30-04-2002,,,-5.02,,,,,,,,,,,,0.9
31-05-2002,,,0.39,,,,,,,,,,,,-4.44
30-06-2002,,,-6.33,,,,,,,,,,,,-4.97
31-07-2002,,,-10.79,,,,,,,,,,,,-15.02
31-08-2002,,,0.65,,,,,,,,,,,,-0.28
30-09-2002,,,-11.4,,,,,,,,,,,,-7.19
31-10-2002,,,8.27,,,,,,,,,,,,3.2
30-11-2002,,,7.0,,,,,,,,,,,,8.9
31-12-2002,,,-5.22,,,,,,,,,,,,-5.57
31-01-2003,,,-2.75,,,,,,,,,,,,-2.78
28-02-2003,,,-2.73,,,,,,,,,,,,-3.03
31-03-2003,,,-0.15,,,,,,,,,,,,1.28
30-04-2003,,,9.86,,,,,,,,,,,,9.46
31-05-2003,,,7.35,,,,,,,,,,,,10.69
30-06-2003,,,0.7,,,,,,,,,,,,1.8
31-07-2003,,,2.2,,,,,,,,,,,,6.23
31-08-2003,,,2.15,,,,,,,,,,,,4.57
30-09-2003,,,-1.83,,,,,,,,,,,,-1.87
31-10-2003,,,6.82,,,,,,,,,,,,8.37
30-11-2003,,,0.88,,,,,,,,,,,,3.53
31-12-2003,,,6.15,,,,,,,,,,,,2.01
31-01-2004,,,1.75,,,,,,,,,,,,4.32
29-02-2004,,,2.25,,,,,,,,,,,,0.9
31-03-2004,,,-0.72,,,,,,,,,,,,0.91
30-04-2004,,,-2.47,,,,,,,,,,,,-5.1
31-05-2004,,,1.13,,,,,,,,,,,,1.59
30-06-2004,,,2.16,,,,,,,,,,,,4.22
31-07-2004,,,-1.91,,,,,,,,,,,,-6.73
31-08-2004,,,1.07,,,,,,,,,,,,-0.52
30-09-2004,,,1.88,,,,,,,,,,,,4.67
31-10-2004,,,1.49,,,,,,,,,,,,1.93
30-11-2004,,,4.86,,,,,,,,,,,,8.65
31-12-2004,,,3.24,,,,,,,,,,,,2.95
31-01-2005,,,-2.45,,,,,,,,,,,,-4.18
28-02-2005,,,1.8,,,,,,,,,,,,1.68
31-03-2005,,,-1.75,,,,,,,,,,,,-2.86
30-04-2005,,,-2.05,,,,,,,,,,,,-5.73
31-05-2005,,,3.15,,,,,,,,,,,,6.52
30-06-2005,,,1.49,,,,,,,,,,,,3.87
31-07-2005,,,3.13,,,,,,,,,,,,6.32
31-08-2005,,,-0.75,,,,,,,,,,,,-1.86
30-09-2005,,,1.03,,,,,,,,,,,,0.31
31-10-2005,,,-1.75,,,,,,,,,,,,-3.1
30-11-2005,,,3.72,,,,,,,,,,,,4.83
31-12-2005,,,0.24,,,,,,,,,,,,-0.47
31-01-2006,,,2.98,,,,,,,,,,,,8.96
28-02-2006,,,1.06,,,,,,,,,,,,-0.29
31-03-2006,,,1.69,,,,,,,,,,,,4.84
30-04-2006,,,2.79,,,,,,,,,,,,-0.03
31-05-2006,,,-2.46,,,,,,,,,,,,-5.62
30-06-2006,,,0.32,,,,,,,,,,,,0.62
31-07-2006,,,0.99,,,,,,,,,,,,-3.28
31-08-2006,,,1.52,,,,,,,,,,,,2.95
30-09-2006,,,2.65,,,,,,,,,,,,0.82
31-10-2006,,,3.31,,,,,,,,,,,,5.73
30-11-2006,,,1.77,,,,,,,,,,,,2.63
31-12-2006,,,2.4,,,,,,,,,,,,0.32
31-01-2007,,,1.75,,,,,,,,,,,,1.65
28-02-2007,,,-1.71,,,,,,,,,,,,-0.8
31-03-2007,,,1.29,,,,,,,,,,,,1.05
30-04-2007,,,4.18,,,,,,,,,,,,1.77
31-05-2007,,,3.79,,,,,,,,,,,,4.09
