Date      , Core-Dividend-Growth-ETF, MSCI-USA-Momentum-Factor-ETF, SP-500-Value-ETF   , Asia-50-ETF        , MSCI-USA-Quality-GARP-ETF, MSCI-EAFE-Min-Vol-Factor-ETF, Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc, MSCI-USA-Min-Vol-Factor-ETF, Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc, Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-USD-Converted
31-05-2000,                         ,                             ,                    ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-06-2000,                         ,                             , -3.93              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-07-2000,                         ,                             , 1.98               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-08-2000,                         ,                             , 6.68               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-09-2000,                         ,                             , -0.05              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-10-2000,                         ,                             , 1.86               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-11-2000,                         ,                             , -5.12              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-12-2000,                         ,                             , 5.12               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-01-2001,                         ,                             , 4.2                ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
28-02-2001,                         ,                             , -6.64              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-03-2001,                         ,                             , -3.94              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-04-2001,                         ,                             , 6.76               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-05-2001,                         ,                             , 1.03               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-06-2001,                         ,                             , -3.25              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-07-2001,                         ,                             , -1.75              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-08-2001,                         ,                             , -5.78              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-09-2001,                         ,                             , -9.51              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-10-2001,                         ,                             , -0.01              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-11-2001,                         ,                             , 6.32               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-12-2001,                         ,                             , 1.51               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-01-2002,                         ,                             , -2.74              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
28-02-2002,                         ,                             , -0.91              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-03-2002,                         ,                             , 5.09               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-04-2002,                         ,                             , -5.02              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-05-2002,                         ,                             , 0.39               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-06-2002,                         ,                             , -6.33              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-07-2002,                         ,                             , -10.79             ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-08-2002,                         ,                             , 0.65               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-09-2002,                         ,                             , -11.4              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-10-2002,                         ,                             , 8.27               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-11-2002,                         ,                             , 7.0                ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-12-2002,                         ,                             , -5.22              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-01-2003,                         ,                             , -2.75              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
28-02-2003,                         ,                             , -2.73              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-03-2003,                         ,                             , -0.15              ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-04-2003,                         ,                             , 9.86               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-05-2003,                         ,                             , 7.35               ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
30-06-2003,                         ,                             , 0.7                ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
31-07-2003,                         ,                             , 2.2                ,                    ,                          ,                             ,                                                  ,                            ,                                                   , 
