Period,Method,Regime,ETF,Weight,Expected_Return,Ratio_Value,Observations
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",USA_Momentum,0.14999999999999974,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",EAFE_MinVol,0.1499999999999996,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",World_Momentum,0.15,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",USA_MinVol,0.15,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",World_MinVol_USD,0.14999999999999983,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",Global_MinVol,0.14999999999999986,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Falling Inflation",Europe_Momentum_USD,0.10000000000000044,1.182331653333333,0.408453549776751,30
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",Dividend_Growth,0.15,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",SP500_Value,0.15,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",Asia_50,0.14999999999999994,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",USA_MinVol,0.09999999999999999,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",USA_Quality_Factor,0.14999999999999974,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",USA_EqualWeight,0.15,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Rising Growth, Rising Inflation",Russell_2000,0.14999999999999997,2.1417353148148144,0.5347094355848129,27
Single Period (2015-2025),Sharpe,"Slowing Growth, Falling Inflation",USA_Momentum,0.14999999999999997,3.5634924815939453,1.0914890032114963,18
